name,line
Students, Come over now if you wanna play hide-and-seek! Me! I'll play! Me! I'll play!
Hitori Gotou," The girl who wonders, Would it be okay for me to join in? and so misses her chance, ending up all alone."
Teacher Kinder," Hitori-chan, what's wrong?"
Hitori Gotou," The girl who ends up all alone at a picnic, swapping parts of her lunch with the teacher."
Teacher Picnic, Here you go.
Hitori Gotou, I'm home.
Hitori Gotou," The girl who doesn't join any clubs, comes home right after school,"
Hitori Gotou," and finds her smartphone full of nothing but messages from her parents and coupon offers. That's me. Hitori Goto, first-year in middle school."
TV," And here, we'll stir-fry it a bit. There's a lot of vegetables, so you can probably make it quickly if you cut them in advance. You can probably do that in the morning, yeah. Lately I've gotten good at making so many dishes so quickly I thought I didn't need to know any more, but lately I'm learning once again how interesting cooking can be. Personally I like a lot of options with rice. Oh, of course. But you—"
Hitori Gotou," Sometimes I think I should really change the way I am... But I always stammer when I try to speak, and I'm really bad at keeping eye contact... A life as the archetypal introvert just seems to fit me best."
Naoki Gotou, You watching this?
Hitori Gotou, Nah.
Instorms Band Member," Back in school, I was the guy who sat in the back of the classroom pretending to read. No friends."
Interviewer, And now you're part of a band that's extremely popular with young people!
Instorms Band Member, Yeah. A band is a place where even introverts can shine.
Interviewer," I see! Now, here's ""Trigger"" by Instorms!"
Naoki Gotou, What is it?
Hitori Gotou," D-Dad, can I use your guitar?"
Naoki Gotou, Sure!
Hitori Gotou, Th-Thanks!
Naoki Gotou," Aha! At last, Hitori's getting into guitar too!"
Hitori Gotou," Maybe even someone like me can shine if I'm in a band! I've made up my mind. I'm gonna learn to play guitar! Then I'll form a band at school, and... E, A, G... What's with all the English? Then I'll play at the culture festival and have everyone go crazy for me! Crazy... for me?"
Hitori Gotou," I practiced six hours every day, so I could learn how to play in front of people... The result? Middle school ended, and I never played a single note for them! I never performed once... At the culture festival! I never put together... The members for a band! And I never made a single friend... In three whole years! Now, in high school... I gotta form a band or die trying! But despite my vow, it's been a whole month since high school started, and yet my heart remains grounded in the guitar, little better than a shut-in... Lyrics and music by me. From the closet with love. But before I cause neighborhood problems playing my crummy original song late at night, I've gotta upload a cover I did of a popular band. It's been a pretty long time since I started uploading myself playing under the name ""guitarhero"" on my dad's advice, but... Wow, my latest video already has so many comments. I've been racking up the views lately, too, and people are telling me I'm good... Yeah, maybe it's okay if I can't handle real life! There are tons of people cheering for me online! The internet is filled with socially anxious introverts just like me! I put the effort in, okay? I brought CDs to school and set them on my desk. Talk to me! I bought band merch and showed it off. Talk to me!"
Speaker Voice, This next song is a request from Goto-san in Class 2-A.
Hitori Gotou, I put in song requests at lunch... ...for the death metal song I'd been obsessed with lately.
Hitori Gotou," Not the flashbacks! Begone! Begone, filthy memories! I wish I could perform live... That... That could work!"
